raw_name,taxon_name,level_1,indicator
Betula pubescens var. pumila,betula_pubescens_var_pumila,Betula pubescens-type,FALSE
Betula sect. Apterocaryon,betula_sect_apterocaryon,Betula nana-type,FALSE
Betula sect. Betula,betula_sect_betula,Betula pubescens-type,FALSE
Betula undiff.,betula_undiff,Betula,FALSE
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",betula_alnus_corylus_myrica_type_114_hd_v,Betulaceae,FALSE
Betula/Corylus/Myrica,betula_corylus_myrica,Betula/Corylus/Myrica,FALSE
Betulaceae,betulaceae,Betulaceae,FALSE
Bidens,bidens,Bidens-type,FALSE
Bidens-type,bidens_type,Bidens-type,FALSE
Bistorta,bistorta,Polygonum bistorta-type,FALSE
Bistorta officinalis,bistorta_officinalis,Polygonum bistorta,FALSE
Bistorta officinalis-type,bistorta_officinalis_type,Polygonum bistorta-type,FALSE
Bistorta officinalis/B. vivipara,bistorta_officinalis_b_vivipara,Polygonum bistorta-type,FALSE
Bistorta vivipara,bistorta_vivipara,Polygonum viviparum,FALSE
Bistorta vivipara-type,bistorta_vivipara_type,Polygonum bistorta-type,FALSE
Bituminaria bituminosa,bituminaria_bituminosa,Psoralea bituminosa,FALSE
Blackstonia,blackstonia,Blackstonia perfoliata,FALSE
Blackstonia perfoliata-type,blackstonia_perfoliata_type,Blackstonia perfoliata,FALSE
Boraginaceae,boraginaceae,Boraginaceae,FALSE
Boraginaceae undiff.,boraginaceae_undiff,Boraginaceae,FALSE
Borago,borago,Borago,FALSE
Borago officinalis,borago_officinalis,Borago,FALSE
Brassica,brassica,Brassicaceae,FALSE
Brassica-type,brassica_type,Brassicaceae,FALSE
Brassicaceae,brassicaceae,Brassicaceae,FALSE
Brassicaceae-type,brassicaceae_type,Brassicaceae,FALSE
Brassicaceae undiff.,brassicaceae_undiff,Brassicaceae,FALSE
Bromus,bromus,Bromus,FALSE
Bruckenthalia,bruckenthalia,Bruckenthalia spiculifolia,FALSE
Bruckenthalia-type,bruckenthalia_type,Bruckenthalia spiculifolia,FALSE
Bryonia,bryonia,Bryonia,FALSE
Buglossoides arvensis,buglossoides_arvensis,Buglossoides arvensis,FALSE
Bunium-type,bunium_type,Peucedanum-type,FALSE
Buphthalmum,buphthalmum,Senecio-type,FALSE
Bupleurum,bupleurum,Bupleurum,FALSE
Bupleurum-type,bupleurum_type,Apiaceae,FALSE
Bupleurum ranunculoides,bupleurum_ranunculoides,Bupleurum,FALSE
Buxus,buxus,Buxus,FALSE
Buxus sempervirens,buxus_sempervirens,Buxus,FALSE
Calendula,calendula,Calendula,FALSE
Calligonum,calligonum,Calligonum,FALSE
Calluna,calluna,Calluna vulgaris,FALSE
Calluna vulgaris,calluna_vulgaris,Calluna vulgaris,FALSE
Calluna vulgaris-type,calluna_vulgaris_type,Calluna vulgaris,FALSE
Caltha-type,caltha_type,Caltha-type,FALSE
Calystegia,calystegia,Calystegia,FALSE
Calystegia-type,calystegia_type,Calystegia,FALSE
Calystegia sepium,calystegia_sepium,Calystegia,FALSE
Calystegia sepium-type,calystegia_sepium_type,Calystegia,FALSE
Campanula,campanula,Phyteuma-type,FALSE
Campanula-type,campanula_type,Phyteuma-type,FALSE
Campanula barbata,campanula_barbata,Campanula trachelium-type,FALSE
Campanula rapunculoides,campanula_rapunculoides,Campanula trachelium-type,FALSE
Campanula rotundifolia,campanula_rotundifolia,Phyteuma-type,FALSE
Campanula trachelium-type,campanula_trachelium_type,Campanula trachelium-type,FALSE
Campanula/Jasione,campanula_jasione,Campanulaceae,FALSE
Campanulaceae,campanulaceae,Campanulaceae,FALSE
Campanulaceae undiff.,campanulaceae_undiff,Campanulaceae,FALSE
Cannabaceae,cannabaceae,Cannabis/Humulus,FALSE
Cannabaceae-type,cannabaceae_type,Cannabis/Humulus,FALSE
Cannabaceae cf. Cannabis sativa,cannabaceae_cf_cannabis_sativa,Cannabis/Humulus,FALSE
Cannabaceae sensu stricto,cannabaceae_sensu_stricto,Cannabis/Humulus,FALSE
Cannabaceae undiff.,cannabaceae_undiff,Cannabis/Humulus,FALSE
Cannabis,cannabis,Cannabis sativa,FALSE
Cannabis-type,cannabis_type,Cannabis sativa,FALSE
Cannabis sativa,cannabis_sativa,Cannabis sativa,FALSE
Cannabis sativa-type,cannabis_sativa_type,Cannabis sativa,FALSE
Caprifoliaceae,caprifoliaceae,Caprifoliaceae,FALSE
Capsella-type,capsella_type,Brassicaceae,FALSE
Cardamine,cardamine,Brassicaceae,FALSE
Cardamine-type,cardamine_type,Brassicaceae,FALSE
Cardamine pratensis-type,cardamine_pratensis_type,Brassicaceae,FALSE
Cardueae,cardueae,Cynareae,FALSE
Carduoideae,carduoideae,Cynareae,FALSE
Carduus,carduus,Carduus,FALSE
Carduus-type,carduus_type,Carduus-type,FALSE
Carex,carex,Carex,FALSE
Carex-type,carex_type,Carex,FALSE
Carex hirta-type,carex_hirta_type,Carex,FALSE
Carlina,carlina,Carlina,FALSE
Carlina acaulis,carlina_acaulis,Carlina acaulis,FALSE
Carpinus,carpinus,Carpinus betulus,FALSE
Carpinus-type,carpinus_type,Carpinus betulus,FALSE
Carpinus betulus,carpinus_betulus,Carpinus betulus,FALSE
Carpinus betulus-type,carpinus_betulus_type,Carpinus betulus,FALSE
Carpinus orientalis,carpinus_orientalis,Ostrya/Carpinus orientalis,FALSE
Carthamus,carthamus,Carthamus-type,FALSE
Carthamus-type,carthamus_type,Carduncellus-type,FALSE
Carum,carum,Apiaceae,FALSE
Carum-type,carum_type,Apiaceae,FALSE
Carum carvi,carum_carvi,Carum carvi,FALSE
Carum carvi-type,carum_carvi_type,Carum carvi,FALSE
Carum verticillatum,carum_verticillatum,Carum verticillatum,FALSE
Carya,carya,Carya,FALSE
Carya tomentosa,carya_tomentosa,Carya,FALSE
Caryophyllaceae,caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae),FALSE
"Caryophyllaceae (periporate, excluding Paronychioideae)",caryophyllaceae_periporate_excluding_paronychioideae,Caryophyllaceae (periporate excl. Paronychioideae),FALSE
Caryophyllaceae cf. Silene latifolia subsp. alba,caryophyllaceae_cf_silene_latifolia_subsp_alba,Caryophyllaceae (periporate excl. Paronychioideae),FALSE
Caryophyllaceae pro parte,caryophyllaceae_pro_parte,Caryophyllaceae (periporate excl. Paronychioideae),FALSE
Caryophyllaceae undiff.,caryophyllaceae_undiff,Caryophyllaceae (periporate excl. Paronychioideae),FALSE
Castanea,castanea,Castanea sativa,FALSE
Castanea-type,castanea_type,Castanea sativa,FALSE
Castanea sativa,castanea_sativa,Castanea sativa,FALSE
Caucalis platycarpos,caucalis_platycarpos,Caucalis platycarpos,FALSE
Cedrus,cedrus,Cedrus,FALSE
Cedrus-type,cedrus_type,Cedrus,FALSE
Celastraceae,celastraceae,Celastraceae,FALSE
Celtis,celtis,Celtis,FALSE
Celtis-type,celtis_type,Celtis,FALSE
Celtis australis,celtis_australis,Celtis,FALSE
Centaurea,centaurea,Centaurea,FALSE
Centaurea-type,centaurea_type,Centaurea,FALSE
Centaurea cf. C. cyanus,centaurea_cf_c_cyanus,Centaurea cyanus-type,FALSE
Centaurea cf. C. cyanus-type,centaurea_cf_c_cyanus_type,Centaurea cyanus-type,FALSE
Centaurea cf. C. nigra-type,centaurea_cf_c_nigra_type,Centaurea nigra-type,FALSE
Centaurea cf. C. scabiosa-type,centaurea_cf_c_scabiosa_type,Centaurea scabiosa-type,FALSE
Centaurea collina,centaurea_collina,Centaurea scabiosa-type,FALSE
Centaurea collina-type,centaurea_collina_type,Centaurea scabiosa-type,FALSE
Centaurea cyanus,centaurea_cyanus,Centaurea cyanus-type,FALSE
Centaurea cyanus-type,centaurea_cyanus_type,Centaurea cyanus-type,FALSE
Centaurea depressa-type,centaurea_depressa_type,Centaurea cyanus-type,FALSE
Centaurea jacea,centaurea_jacea,Centaurea nigra-type,FALSE
Centaurea jacea-type,centaurea_jacea_type,Centaurea nigra-type,FALSE
Centaurea montana,centaurea_montana,Centaurea montana-type,FALSE
Centaurea montana-type,centaurea_montana_type,Centaurea montana-type,FALSE
Centaurea montana/Cyanus triumfettii,centaurea_montana_cyanus_triumfettii,Centaurea montana-type,FALSE
Centaurea nigra,centaurea_nigra,Centaurea nigra-type,FALSE
Centaurea nigra-type,centaurea_nigra_type,Centaurea nigra-type,FALSE
Centaurea scabiosa,centaurea_scabiosa,Centaurea scabiosa-type,FALSE
Centaurea scabiosa-type,centaurea_scabiosa_type,Centaurea scabiosa-type,FALSE
Centaurea sinaica,centaurea_sinaica,Laserpitium latifolium-type,FALSE
